Entidad Crediticia;Mes de Registro;Tipo de Tarjeta;Membres¡a Anual Tarjeta principal;Membres¡a Anual Tarjeta Adicional;Cargo por Perdida o Robada (B/.);Cargo por Deterioro (B/.);Tasa de inter‚s                                                                                                                                                                                                                                                                                                   Nominal Anual (%);L¡mite de Cr‚dito Inferior (B/.);L¡mite de Cr‚dito Superior;Costo de Seguro Contra Fraude (B/.) ;Desgravamen;Fecha de Corte;Fecha de Pago;Pago                                                                                                                                                                                                                                                                                                                                            M¡nimo Mensual (B/.);Pagos                                                                                                                                                                                                                                                                                Atrasados (B/.);Sobregiro (B/.);Adelanto de Dinero en Efectivo (B/.)
BAC INTERNATIONAL BANK, INC.;45323;Bac MasterCard Corporate Plus ;150;150;50;20;0.185;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Bac MasterCard Corporate ;$ 95.00;$ 45.00;50;20;0.185;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BBP BANK, S.A.;45323;Visa Signature;150;15.00 (1er a¤o gratis);5;5;0.18;1000;100000;-;Tasa minima 0.131% - Tasa m xima 0.377%          sobre el saldo adeudado m s el 5% de itbms.                                * De acuerdo al rango de edad y suma asegurada.       ;Pen£ltimo d¡a laborable de cada mes;15 de cada mes;4% del saldo. M¡nimo USD20.00;"1 pago vencido: 10.00; 
2 pagos vencidos: 15.00; 
3 pagos vencidos: 20.00.
";"5.00
";3% del monto del adelanto + 2.00
BANCO DE OCCIDENTE;45323;MasterCard Platinum;100;50;30;30;0.12;5000;100000;7.75;0.60%  s/saldo;25 de cada mes;20 d¡as ;30;3% s/mora;30;3% m¡nimo 20.00
BANCO FICOHSA (PANAMµ), S.A.;45323;Visa Arrocha Cl sica;$75 m s ITBMS;$20 m s ITBMS;$10;Gratis;0.28;$600;$1,999;0;0.00230 sobre saldo actual por cada mil o fracci¢n de mil. M¡n $2.30 m s  ITBMS;Seg£n ciclo de la cta.;25 d¡as;$5;Cuando el pago m¡nimo  sea menor a $59.99,  se cobrar  el monto correspondiente al pago m¡nimo, para montos mayores se cobrar  un valor fijo de $75.00 m s ITBMS;$60 m s  ITBMS;"ATM propios y de la competencia y en ventanilla: 10% del monto de la transacci¢n o m¡nimo $12.50 
MCC Juegos de azar: 12% del monto de la transacci¢n o m¡nimo $12.50"
BANCO FICOHSA (PANAMµ), S.A.;45323;Visa Arrocha Gold;$90 m s ITBMS;$20 m s ITBMS;$10;Gratis;0.26;$1,500;$4,999;0;0.00230 sobre saldo actual por cada mil o fracci¢n de mil. M¡n $2.30 m s  ITBMS;Seg£n ciclo de la cta.;25 d¡as;$5;Cuando el pago m¡nimo  sea menor a $59.99,  se cobrar  el monto correspondiente al pago m¡nimo, para montos mayores se cobrar  un valor fijo de $75.00 m s ITBMS;$60 m s  ITBMS;"ATM propios y de la competencia y en ventanilla: 10% del monto de la transacci¢n o m¡nimo $12.50 
MCC Juegos de azar: 12% del monto de la transacci¢n o m¡nimo $12.50"
BANCO FICOHSA (PANAMµ), S.A.;45323;Visa Arrocha Platinum;$125 m s ITBMS;$25 m s ITBMS;$15;Gratis;0.26;$4,000;$20,000;0;0.00230 sobre saldo actual por cada mil o fracci¢n de mil. M¡n $2.30 m s  ITBMS;Seg£n ciclo de la cta.;25 d¡as;$5;Cuando el pago m¡nimo  sea menor a $59.99,  se cobrar  el monto correspondiente al pago m¡nimo, para montos mayores se cobrar  un valor fijo de $75.00 m s ITBMS;$60 m s  ITBMS;"ATM propios y de la competencia y en ventanilla: 10% del monto de la transacci¢n o m¡nimo $12.50 
MCC Juegos de azar: 12% del monto de la transacci¢n o m¡nimo $12.50"
BANCO FICOHSA (PANAMµ), S.A.;45323;Visa FicoBlue ;$40 m s ITBMS;$20 m s ITBMS;$10;Gratis;0.1799;$700;$10,000;0;0.00230 sobre saldo actual por cada mil o fracci¢n de mil. M¡n $2.30 m s  ITBMS;Seg£n ciclo de la cta.;25 d¡as;$5;Cuando el pago m¡nimo  sea menor a $59.99,  se cobrar  el monto correspondiente al pago m¡nimo, para montos mayores se cobrar  un valor fijo de $75.00 m s ITBMS;$60 m s  ITBMS;"ATM propios y de la competencia y en ventanilla: 10% del monto de la transacci¢n o m¡nimo $12.50 
MCC Juegos de azar: 12% del monto de la transacci¢n o m¡nimo $12.50"
BANCO FICOHSA (PANAMµ), S.A.;45323;Mastercard Super 99 Standard;$75 m s ITBMS;$20 m s ITBMS;$10;Gratis;0.28;$600;$1,999;0;0.00230 sobre saldo actual por cada mil o fracci¢n de mil. M¡n $2.30 m s  ITBMS;Seg£n ciclo de la cta.;25 d¡as;$5;Cuando el pago m¡nimo  sea menor a $59.99,  se cobrar  el monto correspondiente al pago m¡nimo, para montos mayores se cobrar  un valor fijo de $75.00 m s ITBMS;$60 m s  ITBMS;"ATM propios y de la competencia y en ventanilla: 10% del monto de la transacci¢n o m¡nimo $12.50 
MCC Juegos de azar: 12% del monto de la transacci¢n o m¡nimo $12.50"
BANCO FICOHSA (PANAMµ), S.A.;45323;Mastercard Super 99 Gold;$90 m s ITBMS;$20 m s ITBMS;$10;Gratis;0.26;$1,500;$4,999;0;0.00230 sobre saldo actual por cada mil o fracci¢n de mil. M¡n $2.30 m s  ITBMS;Seg£n ciclo de la cta.;25 d¡as;$5;Cuando el pago m¡nimo  sea menor a $59.99,  se cobrar  el monto correspondiente al pago m¡nimo, para montos mayores se cobrar  un valor fijo de $75.00 m s ITBMS;$60 m s  ITBMS;"ATM propios y de la competencia y en ventanilla: 10% del monto de la transacci¢n o m¡nimo $12.50 
MCC Juegos de azar: 12% del monto de la transacci¢n o m¡nimo $12.50"
BANCO FICOHSA (PANAMµ), S.A.;45323; Mastercard Super 99 Platinum;$125 m s ITBMS;$25 m s ITBMS;$15;Gratis;0.26;$4,000;$20,000;0;0.00230 sobre saldo actual por cada mil o fracci¢n de mil. M¡n $2.30 m s  ITBMS;Seg£n ciclo de la cta.;25 d¡as;$5;Cuando el pago m¡nimo  sea menor a $59.99,  se cobrar  el monto correspondiente al pago m¡nimo, para montos mayores se cobrar  un valor fijo de $75.00 m s ITBMS;$60 m s  ITBMS;"ATM propios y de la competencia y en ventanilla: 10% del monto de la transacci¢n o m¡nimo $12.50 
MCC Juegos de azar: 12% del monto de la transacci¢n o m¡nimo $12.50"
